ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA	SEROTYPE	eBG
410	13	11	17	16	13	15	4	Eastbourne	158
411	11	10	25	42	40	13	4	Chester	49
411	11	10	25	42	40	13	4	Sandiego	49
412	11	10	25	13	10	58	4	Reading	21
413	15	70	93	78	113	6	68	Mbandaka	62
414	50	10	25	72	10	13	4		43
414	50	10	25	72	10	13	4	Eastbourne	43
415	140	105	78	93	14	10	3	Adelaide	82
416	141	4	18	90	5	96	87	Fulica_like	18
417	141	4	18	140	5	96	87	Fulica_like	18
418	111	63	25	141	40	71	4	Hessarek	
419	13	11	25	72	10	23	23	Arechavaleta	51
420	13	11	25	72	10	141	23	Arechavaleta	51
421	142	123	110	142	137	7	139	Arechavaleta	
422	93	4	18	90	5	96	87	Bispebjerg	18
423	20	4	23	14	16	19	140	Paratyphi_B	32
424	143	31	18	143	5	142	22	Birkenhead	
425	127	90	111	33	122	143	95		
425	127	90	111	33	122	143	95	Mississippi	
426	46	124	112	12	36	19	18	Aberdeen	165
427	144	2	108	12	115	19	1	Szentes	
428	13	80	113	49	10	107	23		162
429	10	7	12	9	5	144	2	Typhimurium	1
430	145	26	30	144	21	145	28		126
431	92	125	85	128	138	9	141	Meleagridis	83
432	88	26	30	55	21	68	80		10
433	30	28	31	27	22	29	30		23
434	18	2	18	12	25	7	12	Hvittingfoss	173
434	18	2	18	12	25	7	12	Rhydyfelin	173
435	2	2	3	124	2	2	6	Berta	99
437	13	12	63	16	13	16	4	Javiana	17
438	2	14	15	145	5	20	22	Hvittingfoss	
439	88	26	30	84	21	68	80		10
440	140	105	85	93	14	10	3		82
440	140	105	85	93	14	10	3	Adelaide	82
441	22	11	25	21	10	23	68	Panama	42
442	17	8	3	146	97	19	14	Abony	95
443	5	75	8	96	39	146	97	Monschaui	
444	14	112	43	123	118	147	120		37
445	33	26	30	147	131	145	134		
446	15	126	101	88	8	19	18	Hvittingfoss	
447	13	127	92	113	114	107	4		46
